Category,Description
Document_Writing,Prepare the ordinance for approval of resolution number WD-1382 establishing rates and charges for water and sewer services.
Meeting_Planning,Schedule the next regular meeting of the City Council for the final reading of the ordinance.
Document_Writing,Begin the review and approval process for the renaming of Examination Avenue to Bruin Way.
Document_Writing,Execute all documents necessary for the lease of city owned property located at 309 Pine Avenue to the Long Beach Community College District.
Meeting_Planning,Arrange for the two new employees to meet with all council officers at the beginning of their employment.
Administrative_Communication,Initiate discussions with the I-Team director regarding input from council officers before the new staff start.
Document_Writing,Request the city auditor to conduct a review of the city's 25 parking structures and lots.
Administrative_Communication,Engage in dialogue with the new parking lot company about public private partnership opportunities regarding Eldorado Park.
Document_Writing,Prepare the communication to request the Housing and Neighborhoods Committee to consider renaming the Small Business Development Center.
Meeting_Planning,Organize logistics and operations plans for the new innovation center to be revealed in about a month.
Document_Writing,Create a plan for recruiting and improving diversity in hiring practices. | Provide an annual report on the city's diversity and hiring practices.
Administrative_Communication,Communicate plans to enhance diversity in recruitment and employment within city departments.
Document_Writing,"Prepare a draft ordinance to explicitly ban the retail sale, cultivation, manufacture, distribution and laboratory testing of adult use marijuana in Long Beach. | Prepare a draft urgency ordinance to establish a temporary hold on adult use marijuana businesses in Long Beach. | Return to the city council in December with a draft ordinance either to ban commercial adult use marijuana or to place a temporary hold on activities."
